X,beta1,beta2,T,dimx,dimy,gamma,gamma1,gamma2,n,n1,n2,objVal_partitioned,objVal_single,status_partitioned,status_single
0.1,0.1,0.1,0.1,100.0,50.0,5.0,0.0,4.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.2800000000000001,100.0,50.0,14.0,0.0,13.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.5,0.46,100.0,50.0,23.0,0.0,22.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.6400000000000001,100.0,50.0,32.0,0.0,31.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.9,0.8200000000000001,100.0,50.0,41.0,0.0,40.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.12000000000000002,100.0,50.0,6.0,1.0,4.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.3000000000000001,100.0,50.0,15.0,1.0,13.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.5,0.48000000000000004,100.0,50.0,24.0,1.0,22.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.6600000000000001,100.0,50.0,33.0,1.0,31.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.9,0.8400000000000001,100.0,50.0,42.0,1.0,40.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,0.5,0.1,0.14,100.0,50.0,7.0,2.0,4.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.32000000000000006,100.0,50.0,16.0,2.0,13.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.5,0.5,100.0,50.0,25.0,2.0,22.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.6800000000000002,100.0,50.0,34.0,2.0,31.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.9,0.8600000000000001,100.0,50.0,43.0,2.0,40.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,0.7000000000000001,0.1,0.16000000000000003,100.0,50.0,8.0,3.0,4.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.3400000000000001,100.0,50.0,17.0,3.0,13.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.5,0.52,100.0,50.0,26.0,3.0,22.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7000000000000002,100.0,50.0,35.0,3.0,31.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.9,0.8800000000000001,100.0,50.0,44.0,3.0,40.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,0.9,0.1,0.18000000000000002,100.0,50.0,9.0,4.0,4.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.3600000000000001,100.0,50.0,18.0,4.0,13.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.5,0.54,100.0,50.0,27.0,4.0,22.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7200000000000001,100.0,50.0,36.0,4.0,31.0,50.0,5.0,45.0,0.0,0.0,warning,warning
,,0.9,0.9,100.0,50.0,45.0,4.0,40.0,50.0,5.0,45.0,0.0,0.0,warning,warning
0.30000000000000004,0.1,0.1,0.1,100.0,50.0,5.0,1.0,3.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.24000000000000002,100.0,50.0,12.0,1.0,10.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.5,0.38,100.0,50.0,19.0,1.0,17.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.52,100.0,50.0,26.0,1.0,24.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.9,0.66,100.0,50.0,33.0,1.0,31.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.16000000000000003,100.0,50.0,8.0,4.0,3.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.30000000000000004,100.0,50.0,15.0,4.0,10.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.5,0.44,100.0,50.0,22.0,4.0,17.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.5800000000000001,100.0,50.0,29.0,4.0,24.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.9,0.72,100.0,50.0,36.0,4.0,31.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,0.5,0.1,0.22000000000000003,100.0,50.0,11.0,7.0,3.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.36000000000000004,100.0,50.0,18.0,7.0,10.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.5,0.5,100.0,50.0,25.0,7.0,17.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.64,100.0,50.0,32.0,7.0,24.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.9,0.78,100.0,50.0,39.0,7.0,31.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,0.7000000000000001,0.1,0.28,100.0,50.0,14.0,10.0,3.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.42000000000000004,100.0,50.0,21.0,10.0,10.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.5,0.56,100.0,50.0,28.0,10.0,17.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7000000000000001,100.0,50.0,35.0,10.0,24.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.9,0.8400000000000001,100.0,50.0,42.0,10.0,31.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,0.9,0.1,0.3400000000000001,100.0,50.0,17.0,13.0,3.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.4800000000000001,100.0,50.0,24.0,13.0,10.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.5,0.6200000000000001,100.0,50.0,31.0,13.0,17.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.76,100.0,50.0,38.0,13.0,24.0,50.0,15.0,35.0,0.0,0.0,warning,warning
,,0.9,0.9000000000000001,100.0,50.0,45.0,13.0,31.0,50.0,15.0,35.0,0.0,0.0,warning,warning
0.5,0.1,0.1,0.1,100.0,50.0,5.0,2.0,2.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.2,100.0,50.0,10.0,2.0,7.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.5,0.3,100.0,50.0,15.0,2.0,12.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.4,100.0,50.0,20.0,2.0,17.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.9,0.5,100.0,50.0,25.0,2.0,22.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.2,100.0,50.0,10.0,7.0,2.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.30000000000000004,100.0,50.0,15.0,7.0,7.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.5,0.4,100.0,50.0,20.0,7.0,12.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.5,100.0,50.0,25.0,7.0,17.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.9,0.6000000000000001,100.0,50.0,30.0,7.0,22.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,0.5,0.1,0.3,100.0,50.0,15.0,12.0,2.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.4,100.0,50.0,20.0,12.0,7.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.5,0.5,100.0,50.0,25.0,12.0,12.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.6000000000000001,100.0,50.0,30.0,12.0,17.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.9,0.7,100.0,50.0,35.0,12.0,22.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,0.7000000000000001,0.1,0.4,100.0,50.0,20.0,17.0,2.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.5,100.0,50.0,25.0,17.0,7.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.5,0.6000000000000001,100.0,50.0,30.0,17.0,12.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7000000000000001,100.0,50.0,35.0,17.0,17.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.9,0.8,100.0,50.0,40.0,17.0,22.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,0.9,0.1,0.5,100.0,50.0,25.0,22.0,2.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.6000000000000001,100.0,50.0,30.0,22.0,7.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.5,0.7,100.0,50.0,35.0,22.0,12.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.8,100.0,50.0,40.0,22.0,17.0,50.0,25.0,25.0,0.0,0.0,warning,warning
,,0.9,0.9,100.0,50.0,45.0,22.0,22.0,50.0,25.0,25.0,0.0,0.0,warning,warning
0.7000000000000001,0.1,0.1,0.1,100.0,50.0,5.0,3.0,1.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.16,100.0,50.0,8.0,3.0,4.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.5,0.21999999999999997,100.0,50.0,10.0,3.0,7.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.27999999999999997,100.0,50.0,13.0,3.0,10.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.9,0.33999999999999997,100.0,50.0,17.0,3.0,13.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.24000000000000005,100.0,50.0,12.0,10.0,1.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.30000000000000004,100.0,50.0,15.0,10.0,4.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.5,0.36,100.0,50.0,18.0,10.0,7.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.42000000000000004,100.0,50.0,21.0,10.0,10.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.9,0.48,100.0,50.0,24.0,10.0,13.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,0.5,0.1,0.38,100.0,50.0,19.0,17.0,1.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.44000000000000006,100.0,50.0,22.0,17.0,4.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.5,0.5,100.0,50.0,25.0,17.0,7.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.56,100.0,50.0,28.0,17.0,10.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.9,0.62,100.0,50.0,31.0,17.0,13.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,0.7000000000000001,0.1,0.5200000000000001,100.0,50.0,26.0,24.0,1.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.5800000000000001,100.0,50.0,29.0,24.0,4.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.5,0.6400000000000001,100.0,50.0,32.0,24.0,7.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7000000000000001,100.0,50.0,35.0,24.0,10.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.9,0.76,100.0,50.0,38.0,24.0,13.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,0.9,0.1,0.6600000000000001,100.0,50.0,33.0,31.0,1.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.7200000000000001,100.0,50.0,36.0,31.0,4.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.5,0.78,100.0,50.0,39.0,31.0,7.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.8400000000000001,100.0,50.0,42.0,31.0,10.0,50.0,35.0,15.0,0.0,0.0,warning,warning
,,0.9,0.9000000000000001,100.0,50.0,45.0,31.0,13.0,50.0,35.0,15.0,0.0,0.0,warning,warning
0.9,0.1,0.1,0.1,100.0,50.0,5.0,4.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.12000000000000001,100.0,50.0,6.0,4.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.14,100.0,50.0,7.0,4.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.16,100.0,50.0,8.0,4.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.18,100.0,50.0,9.0,4.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.2800000000000001,100.0,50.0,14.0,13.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.30000000000000004,100.0,50.0,15.0,13.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.32000000000000006,100.0,50.0,16.0,13.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.3400000000000001,100.0,50.0,17.0,13.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.36000000000000004,100.0,50.0,18.0,13.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.5,0.1,0.46,100.0,50.0,23.0,22.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.48,100.0,50.0,24.0,22.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
